buySell,clientName,date,name,qty,remarks,symbol,watp
SELL,DSDG HOLDING APS,03-Sep-2026,Clean Max Enviro En Sol L,1633727,,CLEANMAX,1220
SELL,IIFL MANAGEMENT SERVICES LIMITED,03-Sep-2026,Knowledge Realty Trust,2831050,,KRT,109.5
SELL,SVF II MEERKAT (DE) LLC,03-Sep-2026,Meesho Limited,44682672,,MEESHO,206.3
SELL,SVF II MEERKAT (DE) LLC,03-Sep-2026,Meesho Limited,35317328,,MEESHO,206.3
BUY,SBI LIFE INSURANCE COMPANY LTD.,03-Sep-2026,Clean Max Enviro En Sol L,509485,,CLEANMAX,1220
BUY,MAHINDRA MANULIFE MUTUAL FUND,03-Sep-2026,Clean Max Enviro En Sol L,204919,,CLEANMAX,1220
BUY,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,03-Sep-2026,Clean Max Enviro En Sol L,509485,,CLEANMAX,1220
BUY,DSP INDIA FUND INDIA LONG SHORT STRATEGY FUND WITH CASH MANAGEMENT OPTION,03-Sep-2026,Clean Max Enviro En Sol L,204919,,CLEANMAX,1220
BUY,WHITEOAK CAPITAL MUTUAL FUND,03-Sep-2026,Clean Max Enviro En Sol L,204919,,CLEANMAX,1220
BUY,MEERA  GOYAL,03-Sep-2026,Knowledge Realty Trust,2831050,,KRT,109.5
BUY,FIDELITY CENTRAL INVESTMENTS PORTFOLIO LLC: FIDELITY EMERGING MARKETS EQUITY CENTRAL FUND,03-Sep-2026,Meesho Limited,331100,,MEESHO,206.3
BUY,FGTFEBPFIAM EMERGING MARKETS OPPORTUNITIES COMMINGLED POOL,03-Sep-2026,Meesho Limited,913300,,MEESHO,206.3
BUY,FIDELITY EMERGING MARKETS OPPORTUNITIES INSTITUTIONAL TRUST,03-Sep-2026,Meesho Limited,84700,,MEESHO,206.3
BUY,FIDELITY INVESTMENT TRUST FIDELITY FIDELITY SERIES EMERGING MARKETS FUND,03-Sep-2026,Meesho Limited,3072600,,MEESHO,206.3
BUY,FIDELITY RUTLAND SQUARE TRUST II: STRATEGIC ADVISERS EMERGING MARKETS FUND,03-Sep-2026,Meesho Limited,58600,,MEESHO,206.3
BUY,FIDELITY RUTLAND SQUARE TRUST II: STRATEGIC ADVISERS FID EMG MARKETS FUND,03-Sep-2026,Meesho Limited,114400,,MEESHO,206.3
BUY,FRANKLIN TEMPLETON MUTUAL FUND,03-Sep-2026,Meesho Limited,169145,,MEESHO,206.3
BUY,FRANKLIN TEMPLETON MUTUAL FUND,03-Sep-2026,Meesho Limited,1498142,,MEESHO,206.3
BUY,FRANKLIN TEMPLETON MUTUAL FUND,03-Sep-2026,Meesho Limited,4832713,,MEESHO,206.3
BUY,GOLDMAN SACHS BANK EUROPE SE,03-Sep-2026,Meesho Limited,5300000,,MEESHO,206.3
BUY,HDFC STANDARD LIFE INSURANCE CO LTD,03-Sep-2026,Meesho Limited,6000000,,MEESHO,206.3
BUY,HSBC MUTUAL FUND,03-Sep-2026,Meesho Limited,1211828,,MEESHO,206.3
BUY,MANULIFE GLOBAL FUND INDIA EQUITY FUND,03-Sep-2026,Meesho Limited,1081780,,MEESHO,206.3
BUY,MANULIFE PACIFIC ASIA EQUITY FUND,03-Sep-2026,Meesho Limited,2773147,,MEESHO,206.3
BUY,MANULIFE PROVIDENT FUNDS UNIT TRUST SERIES - MANULIFE INDIA EQUITY FUND,03-Sep-2026,Meesho Limited,64907,,MEESHO,206.3
