buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,HDFC MUTUAL FUND,25-May-2026,Global Health Limited,1000000,,MEDANTA,1225
BUY,NIPPON INDIA EQUITY OPPORTUNITIES AIF - SCHEME 9,25-May-2026,Premier Energies Limited,261781,,PREMIERENE,955
BUY,AL MEHWAR COMMERCIAL INVESTMENTS L.L.C.,25-May-2026,Premier Energies Limited,109946,,PREMIERENE,955
BUY,AMERICAN FUNDS INSURANCE SERIES GLOBAL SMALL CAPITALIZATION FUND,25-May-2026,Premier Energies Limited,66910,,PREMIERENE,955
BUY,BAJAJ FINSERV MUTUAL FUND,25-May-2026,Premier Energies Limited,1047120,,PREMIERENE,955
BUY,BANDHAN MUTUAL FUND,25-May-2026,Premier Energies Limited,1161780,,PREMIERENE,955
BUY,BNP PARIBAS FUNDS INDIA EQUITY,25-May-2026,Premier Energies Limited,314136,,PREMIERENE,955
BUY,CANARA ROBECO MUTUAL FUND,25-May-2026,Premier Energies Limited,1413612,,PREMIERENE,955
BUY,EDELWEISS MUTUAL FUND,25-May-2026,Premier Energies Limited,2094240,,PREMIERENE,955
BUY,HDFC LIFE INSURANCE COMPANY LIMITED,25-May-2026,Premier Energies Limited,994764,,PREMIERENE,955
BUY,HDFC MUTUAL FUND,25-May-2026,Premier Energies Limited,523560,,PREMIERENE,955
BUY,360 ONE MUTUAL FUND,25-May-2026,Premier Energies Limited,272251,,PREMIERENE,955
BUY,ABU DHABI INVESTMENT AUTHORITY,25-May-2026,Premier Energies Limited,125655,,PREMIERENE,955
BUY,NIPPON INDIA EQUITY OPPORTUNITIES AIF - SCHEME 7,25-May-2026,Premier Energies Limited,261781,,PREMIERENE,955
BUY,THE BEEKEEPER CAPITAL PRIVATE LIMITED,25-May-2026,Premier Energies Limited,1465968,,PREMIERENE,955
BUY,TATA MUTUAL FUND,25-May-2026,Premier Energies Limited,1308900,,PREMIERENE,955
BUY,SMALLCAP WORLD FUND INC,25-May-2026,Premier Energies Limited,2444993,,PREMIERENE,955
BUY,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,25-May-2026,Premier Energies Limited,523560,,PREMIERENE,955
BUY,KOTAK MAHINDRA MUTUAL FUND,25-May-2026,Premier Energies Limited,1047120,,PREMIERENE,955
BUY,NOMURA INDIA INVESTMENT FUND MOTHER FUND,25-May-2026,Premier Energies Limited,2500000,,PREMIERENE,955
BUY,PUBLIC SECTOR PENSION INVESTMENT BOARD,25-May-2026,Premier Energies Limited,183247,,PREMIERENE,955
BUY,QUANT MUTUAL FUND,25-May-2026,Premier Energies Limited,4083769,,PREMIERENE,955
BUY,RELIANCE NIPPON LIFE INSURANCE COMPANY LIMITED,25-May-2026,Premier Energies Limited,471204,,PREMIERENE,955
BUY,SBI LIFE INSURANCE COMPANY LIMITED,25-May-2026,Premier Energies Limited,1308900,,PREMIERENE,955
SELL,SUNIL SACHDEVA,25-May-2026,Global Health Limited,1000000,,MEDANTA,1225
SELL,SURENDERPAL SINGH SALUJA,25-May-2026,Premier Energies Limited,15692528,,PREMIERENE,955
SELL,MANJEET KAUR SALUJA,25-May-2026,Premier Energies Limited,5046597,,PREMIERENE,955
SELL,CHARANDEEP SINGH SALUJA,25-May-2026,Premier Energies Limited,1308900,,PREMIERENE,955
SELL,JASVEEN KAUR SALUJA,25-May-2026,Premier Energies Limited,1937172,,PREMIERENE,955
