buySell,clientName,date,name,qty,remarks,symbol,watp
BUY,SINGULARITY EQUITY FUND I,31-Aug-2026,Northern Arc Capital Ltd,1258993,,NORTHARC,278
BUY,SHUBHI CONSULTANCY SERVICES LLP,31-Aug-2026,Northern Arc Capital Ltd,4676259,,NORTHARC,278
BUY,ADIVAM FAMILY TRUST,31-Aug-2026,Northern Arc Capital Ltd,980030,,NORTHARC,278
BUY,COHESION MK BEST IDEAS SUB-TRUST,31-Aug-2026,Northern Arc Capital Ltd,2446043,,NORTHARC,278
BUY,S GUPTA HOMES PRIVATE LIMITED,31-Aug-2026,Northern Arc Capital Ltd,2697842,,NORTHARC,278
BUY,SHIVANI TEJAS TRIVEDI,31-Aug-2026,Ultramarine & Pigments L,700000,,ULTRAMAR,400
BUY,ANVIL SHARE & STOCK BROKING PRIVATE LIMITED,31-Aug-2026,Ultramarine & Pigments L,760000,,ULTRAMAR,400
SELL,EIGHT ROADS INVESTMENTS MAURITIUS II LIMITED,31-Aug-2026,Northern Arc Capital Ltd,5447000,,NORTHARC,278
SELL,LEAPFROG FINANCIAL INCLUSION INDIA (II) LTD,31-Aug-2026,Northern Arc Capital Ltd,980030,,NORTHARC,278
SELL,ACCION AFRICA-ASIA INVESTMENT COMPANY,31-Aug-2026,Northern Arc Capital Ltd,5632137,,NORTHARC,278
SELL,THIRUMALAI CHEMICALS LIMITED,31-Aug-2026,Ultramarine & Pigments L,1460000,,ULTRAMAR,400
